City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Atlantic City,US,2020-11-23 17:17:08,39.36,-74.42,52.0,62,90,21.92,overcast clouds
156,Kaeo,NZ,2020-11-23 17:19:22,-35.1,173.78,57.0,89,100,4.16,moderate rain
157,Benguela,AO,2020-11-23 17:19:22,-12.58,13.41,77.29,77,100,8.63,overcast clouds
158,Achinsk,RU,2020-11-23 17:19:22,56.27,90.5,9.16,96,95,2.21,overcast clouds
159,Boyolangu,ID,2020-11-23 17:19:22,-8.12,111.89,77.05,86,100,2.53,light rain
160,Vao,NC,2020-11-23 17:19:22,-22.67,167.48,72.86,68,82,8.1,broken clouds
161,Baghdad,IQ,2020-11-23 17:16:05,33.34,44.4,59.0,58,0,3.36,clear sky
162,San Patricio,US,2020-11-23 17:19:23,28.02,-97.52,73.99,69,40,10.29,scattered clouds
163,Tongliao,CN,2020-11-23 17:19:23,43.61,122.27,15.8,92,0,7.61,clear sky
164,Bereda,ES,2020-11-23 17:19:23,43.27,-7.54,55.0,96,100,1.01,overcast clouds
165,Saldanha,ZA,2020-11-23 17:17:08,-33.01,17.94,64.4,55,94,5.82,overcast clouds
166,Qaqortoq,GL,2020-11-23 17:19:23,60.72,-46.03,23.0,53,40,2.24,scattered clouds
167,Avera,US,2020-11-23 17:19:23,33.19,-82.53,64.4,52,1,8.05,clear sky
168,Port Elizabeth,ZA,2020-11-23 17:19:23,-33.92,25.57,64.4,88,40,12.75,scattered clouds
169,Zlobin,HR,2020-11-23 17:19:24,45.29,14.65,50.0,66,0,5.82,clear sky
170,Verkhnyaya Sysert,RU,2020-11-23 17:19:24,56.44,60.75,15.8,85,0,4.47,clear sky
171,Henties Bay,NA,2020-11-23 17:19:24,-22.12,14.28,64.0,79,1,14.79,clear sky
172,Havelock,US,2020-11-23 17:16:10,34.88,-76.9,66.0,68,21,7.0,few clouds
173,Piacabucu,BR,2020-11-23 17:19:24,-10.41,-36.43,83.37,61,67,13.2,broken clouds
174,Ponta Delgada,PT,2020-11-23 17:19:24,37.73,-25.67,66.2,77,20,11.41,few clouds
175,Cedar City,US,2020-11-23 17:14:49,37.68,-113.06,42.8,45,1,5.48,clear sky
176,Hlatikulu,SZ,2020-11-23 17:19:25,-26.97,31.32,96.8,41,56,6.93,broken clouds
177,Mayuge,UG,2020-11-23 17:19:25,0.46,33.48,69.62,77,3,5.23,light rain
178,Katsuura,JP,2020-11-23 17:19:25,35.13,140.3,57.2,47,75,12.75,broken clouds
179,New Norfolk,AU,2020-11-23 17:19:25,-42.78,147.06,54.0,64,99,2.48,light rain
180,Faanui,PF,2020-11-23 17:19:25,-16.48,-151.75,80.78,73,77,8.16,broken clouds
181,Victoria,HK,2020-11-23 17:15:44,22.29,114.16,73.0,84,6,1.99,clear sky
